
Lat Mes N NNE ENE E ESE SE SW SSE S HOR
16 Dec -2.2 -3.3 -4.4 -4.4 -2.2 -0.5 2.2 5.0 7.2 -5.0
16 Jan -2.2 -3.3 -3.8 -3.8 -2.2 -0.5 2.2 4.4 6.6 -3.8
16 Feb -1.6 -2.7 -2.7 -2.2 -1.1 0.0 -1.1 2.7 3.8 -2.2
16 Mar -1.6 -1.6 -1.1 -0.5 -0.5 0.0 0.0 0.0 -0.5
16 Apr -0.5 0.0 -0.5 -0.5 -0.5 -1.6 -1.6 -2.7 -3.3 0.0
16 May 2.2 1.6 1.6 0.0 -0.5 -2.2 -2.7 -3.8 -3.8 0.0
16 Jun 3.3 2.2 2.2 0.5 -0.5 -2.2 —3.3 -4.4 -3.8 0.0
16 Jul 2.2 1.6 1.6 0.0 -0.5 -2.2 -2.7 -3.8 -3.8 0.0
16 Aug -0.5 0.0 -0.5 -0.5 -0.5 -1.6 -1.6 -2.7 -3.3 0.0
16 Sept -1.6 -1.6 -1.1 -0.5 -0.5 0.0 0.0 0.0 -0.5
16 Oct -1.6 -2.7 -2.7 -2.2 -1.1 0.0 -1.1 2.7 3.8 -2.2
16 Nov -2.2 -3.3 -3.8 -3.8 -2.2 -0.5 2.2 4.4 6.6 -3.8
24 Dec -2.7 -3.8 -5.0 -5.5 —3.8 -1.6 1.6 5.0 7.2 -7.2
24 Jan -2.2 -3.3 —4.4 -5.0 -3.3 -1.6 1.6 5.0 7.2 -6.1
24 Feb -2.2 -2.7 -3.3 -3.3 -1.6 -0.5 1.6 3.8 5.5 -3.8
24 Mar -1.6 -2.2 -1.6 -1.6 -0.5 -0.5 0.5 1.1 2.2 -1.6
24 Apr -1.1 -0.5 0.0 -0.5 -0.5 -1.1 -0.5 -1.1 -1.6 0.0
24 May 0.5 1.1 1.1 0.0 0.0 -1.6 -1.6 -2.7 -3.3 -0.5
24 Jun 1.6 1.6 1.6 0.5 0.0 -1.6 -2.2 -3.3 -3.3 0.5
24 Jul 0.5 1.1 1.1 0.0 0.0 -1.6 -1.6 -2.7 -3.3 -0.5
24 Aug -1.1 -0.5 0.0 -0.5 -0.5 -1.1 -0.5 -1.1 -1.6 0.0
24 Sept -1.6 -2.2 -1.6 -1.6 -0.5 -0.5 0.5 1.1 2.2 -1.6
24 Oct -2.2 -2.7 -3.3 -3.3 -1.6 -0.5 1.6 3.8 5.5 -3.8
24 Nov -2.2 -3.3 —4.4 -5.0 -3.3 -1.6 1.6 5.0 7.2 -6.1
